DateTime;Load;PV;EV;P_loss;T_set
2021-06-21 06:45:00;2.4603593059531614e-05;0.5296353894232877;0.0;1.72834064307977;21.5
2021-06-21 07:00:00;4.532778140428231e-05;0.575678946887832;0.0;1.908954019940704;21.5
2021-06-21 07:15:00;3.736479277920568e-05;0.6217225043523764;0.0;1.8006477279508675;21.5
2021-06-21 07:30:00;4.7777931750459726e-05;0.6467013981563601;0.0;1.7022903712033226;21.5
2021-06-21 07:45:00;5.757853313516941e-05;0.6571605025828574;0.0;1.6132111885746674;16.7
2021-06-21 08:00:00;0.0002419523466849;0.6676196070093547;0.0;1.5097303952041061;21.5
2021-06-21 08:15:00;0.0005638571827488;0.678078711435852;0.0;1.4117809978102869;21.5
2021-06-21 08:30:00;0.0003848777835453;0.6917544744428009;0.0;1.3239770889882088;21.5
2021-06-21 08:45:00;0.0003858986795228;0.7076506133166289;0.0;1.2446098796994136;21.5
2021-06-21 09:00:00;0.0003665016559488;0.7235467521904568;0.0;1.5583558741830508;21.5
2021-06-21 09:15:00;6.45206257826721e-05;0.7394428910642848;0.0;1.6561152572852083;21.5
2021-06-21 09:30:00;7.636301912252962e-05;0.7437258551899346;0.0;1.5249952105818245;21.5
2021-06-21 09:45:00;0.0001306746851294;0.7399811758326467;0.0;1.406829892810162;21.5
2021-06-21 10:00:00;0.0003603762800834;0.7362364964753586;0.0;1.2885286744885867;21.5
2021-06-21 10:15:00;0.0003358747766217;0.7324918171180705;0.0;1.1871260533519405;21.5
2021-06-21 10:30:00;0.0003450628404199;0.7257395359456646;0.0;1.0963366936513308;21.5
2021-06-21 10:45:00;0.0003552718001956;0.7169052923884847;0.0;1.0144855562220878;21.5
2021-06-21 11:00:00;0.0003573135921508;0.7080710488313046;0.0;0.8956531415371142;21.5
2021-06-21 11:15:00;0.000392024055388;0.6992368052741245;0.0;0.8258480086100337;21.5
2021-06-21 11:30:00;0.0002787046018776;0.7072802511487191;0.0;0.7657961866236817;21.5
2021-06-21 11:45:00;0.0001235284132863;0.7270235606038997;0.0;1.0258426913432603;21.5
2021-06-21 12:00:00;8.616362050723934e-05;0.7467668700590803;5000.0;1.1824318594864491;21.5
2021-06-21 12:15:00;5.267823244281458e-05;0.7665101795142609;1.0;1.0768035822889985;21.5
2021-06-21 12:30:00;5.267823244281458e-05;0.7606181740346383;1.0;0.9859726432240691;21.5
2021-06-21 12:45:00;5.2269874051785e-05;0.7369302023459461;1.0;0.9041713050237643;21.5
2021-06-21 13:00:00;4.614449818634144e-05;0.7132422306572538;1.0;0.9069246080531207;21.5
2021-06-21 13:15:00;3.8487778354537005e-05;0.6895542589685616;1.0;0.8375621160736942;21.5
2021-06-21 13:30:00;8.248839498797322e-05;0.6617240163817217;1.0;0.7698794935083688;21.5
2021-06-21 13:45:00;0.0002286806989764;0.6310141459516262;1.0;0.7088975736184616;21.5
2021-06-21 14:00:00;0.0002123463633352;0.6003042755215309;1.0;0.6237504134354975;21.5
2021-06-21 14:15:00;9.024720441753506e-05;0.5695944050914354;1.0;0.5646084972034496;21.5
2021-06-21 14:30:00;0.0002878926656757;0.5201247081822353;1.0;0.5130829134071121;21.5
2021-06-21 14:45:00;5.9620325090317305e-05;0.4575950623590031;1.0;0.46671593912045584;21.5
2021-06-21 15:00:00;3.634389680163177e-05;0.3950654165357711;1.0;0.3938265499823274;21.5
2021-06-21 15:15:00;4.287763105810488e-05;0.3325357707125389;1.0;0.3522164288154835;21.5
2021-06-21 15:30:00;0.0001531343966359;0.2823536984502303;1.0;0.31674544845984404;21.5
2021-06-21 15:45:00;6.615405934679038e-05;0.2407797582692847;1.0;0.2848544435236302;21.5
2021-06-21 16:00:00;4.6552856577371e-05;0.1992058180883391;1.0;0.28049464634591864;21.5
2021-06-21 16:15:00;2.940180415412907e-05;0.1576318779073935;1.0;0.25673237209687494;21.5
2021-06-21 16:30:00;2.8482997774312533e-05;0.1214089266245515;1.0;0.23379387329211462;21.5
2021-06-21 16:45:00;2.8789266567584705e-05;0.0889217083820184;1.0;0.21314768552545685;21.5
2021-06-21 17:00:00;7.554630234047053e-05;0.0564344901394852;1.0;0.18868672283279767;21.5
2021-06-21 17:15:00;0.0003675225519265;0.023947271896952;1.0;0.17266132174497753;21.5
2021-06-21 17:30:00;0.0003654807599713;0.0097046254173883;1.0;0.23308098769244626;21.5
2021-06-21 17:45:00;0.0003634389680162;0.0082172527754749;1.0;0.7063237532863368;21.5
2021-06-21 18:00:00;0.0003481255283525;0.0067298801335614;1.0;0.7035905240954592;21.5
2021-06-21 18:15:00;0.0003481255283525;0.0052425074916534;1.0;0.6391297868705589;21.5
2021-06-21 18:30:00;0.0003450628404199;0.0054048805616588;1.0;0.5803183044678164;21.5
2021-06-21 18:45:00;0.0003440419444423;0.0067222677587822;1.0;0.5273990626464277;21.5
2021-06-21 19:00:00;6.615405934679038e-05;0.0080396549559055;1.0;0.5399917785567744;21.5
2021-06-21 19:15:00;4.328598944913445e-05;0.0093570421530289;1.0;0.5001119002862506;21.5
2021-06-21 19:30:00;4.6552856577371e-05;0.008445189645824;1.0;0.46026413077600686;21.5
2021-06-21 19:45:00;5.431166600693285e-05;0.0059704015525562;1.0;0.42435585032773354;21.5
2021-06-21 20:00:00;5.349494922487371e-05;0.0034956134592885;1.0;0.4141245363592084;21.5
